"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Sep 26 01:35:04 MSK 2026","Sat Sep 26 01:35:06 MSK 2026","1964","","ru.yandex.practicum.tests.RegistrationTest","","ru.yandex.practicum.tests.RegistrationTest","successfulRegistration[Браузер: yandex]","Успешная регистрация нового пользователя",""
"passed","Sat Sep 26 01:34:35 MSK 2026","Sat Sep 26 01:34:38 MSK 2026","3032","","ru.yandex.practicum.tests.LoginTest","","ru.yandex.practicum.tests.LoginTest","loginViaRegisterForm[Браузер: chrome]","Вход через ссылку «Войти» в форме регистрации",""
"passed","Sat Sep 26 01:34:20 MSK 2026","Sat Sep 26 01:34:22 MSK 2026","1653","","ru.yandex.practicum.tests.ConstructorTest","","ru.yandex.practicum.tests.ConstructorTest","navigateToBuns[Браузер: chrome]","Переход к разделу «Булки»",""
"passed","Sat Sep 26 01:34:25 MSK 2026","Sat Sep 26 01:34:27 MSK 2026","1174","","ru.yandex.practicum.tests.ConstructorTest","","ru.yandex.practicum.tests.ConstructorTest","navigateToSauces[Браузер: yandex]","Переход к разделу «Соусы»",""
"passed","Sat Sep 26 01:34:57 MSK 2026","Sat Sep 26 01:35:00 MSK 2026","2671","","ru.yandex.practicum.tests.RegistrationTest","","ru.yandex.practicum.tests.RegistrationTest","registrationWithShortPasswordShowsError[Браузер: chrome]","Регистрация с паролем короче 6 символов показывает ошибку",""
"passed","Sat Sep 26 01:34:50 MSK 2026","Sat Sep 26 01:34:53 MSK 2026","2888","","ru.yandex.practicum.tests.LoginTest","","ru.yandex.practicum.tests.LoginTest","loginViaMainPageButton[Браузер: yandex]","Вход через кнопку «Войти в аккаунт» на главной странице",""
"passed","Sat Sep 26 01:34:38 MSK 2026","Sat Sep 26 01:34:41 MSK 2026","2907","","ru.yandex.practicum.tests.LoginTest","","ru.yandex.practicum.tests.LoginTest","loginViaMainPageButton[Браузер: chrome]","Вход через кнопку «Войти в аккаунт» на главной странице",""
"passed","Sat Sep 26 01:34:44 MSK 2026","Sat Sep 26 01:34:47 MSK 2026","2938","","ru.yandex.practicum.tests.LoginTest","","ru.yandex.practicum.tests.LoginTest","loginViaPersonalCabinetButton[Браузер: yandex]","Вход через кнопку «Личный кабинет»",""
"passed","Sat Sep 26 01:34:28 MSK 2026","Sat Sep 26 01:34:35 MSK 2026","6352","","ru.yandex.practicum.tests.LoginTest","","ru.yandex.practicum.tests.LoginTest","loginViaPersonalCabinetButton[Браузер: chrome]","Вход через кнопку «Личный кабинет»",""
"passed","Sat Sep 26 01:34:53 MSK 2026","Sat Sep 26 01:34:56 MSK 2026","3033","","ru.yandex.practicum.tests.LoginTest","","ru.yandex.practicum.tests.LoginTest","loginViaForgotPasswordForm[Браузер: yandex]","Вход через ссылку «Войти» в форме восстановления пароля",""
"passed","Sat Sep 26 01:34:47 MSK 2026","Sat Sep 26 01:34:50 MSK 2026","3005","","ru.yandex.practicum.tests.LoginTest","","ru.yandex.practicum.tests.LoginTest","loginViaRegisterForm[Браузер: yandex]","Вход через ссылку «Войти» в форме регистрации",""
"passed","Sat Sep 26 01:34:24 MSK 2026","Sat Sep 26 01:34:25 MSK 2026","1509","","ru.yandex.practicum.tests.ConstructorTest","","ru.yandex.practicum.tests.ConstructorTest","navigateToBuns[Браузер: yandex]","Переход к разделу «Булки»",""
"passed","Sat Sep 26 01:34:18 MSK 2026","Sat Sep 26 01:34:20 MSK 2026","2242","","ru.yandex.practicum.tests.ConstructorTest","","ru.yandex.practicum.tests.ConstructorTest","navigateToFillings[Браузер: chrome]","Переход к разделу «Начинки»",""
"passed","Sat Sep 26 01:34:23 MSK 2026","Sat Sep 26 01:34:24 MSK 2026","1090","","ru.yandex.practicum.tests.ConstructorTest","","ru.yandex.practicum.tests.ConstructorTest","navigateToFillings[Браузер: yandex]","Переход к разделу «Начинки»",""
"passed","Sat Sep 26 01:34:22 MSK 2026","Sat Sep 26 01:34:23 MSK 2026","1172","","ru.yandex.practicum.tests.ConstructorTest","","ru.yandex.practicum.tests.ConstructorTest","navigateToSauces[Браузер: chrome]","Переход к разделу «Соусы»",""
"passed","Sat Sep 26 01:35:00 MSK 2026","Sat Sep 26 01:35:02 MSK 2026","2386","","ru.yandex.practicum.tests.RegistrationTest","","ru.yandex.practicum.tests.RegistrationTest","successfulRegistration[Браузер: chrome]","Успешная регистрация нового пользователя",""
"passed","Sat Sep 26 01:35:02 MSK 2026","Sat Sep 26 01:35:04 MSK 2026","1648","","ru.yandex.practicum.tests.RegistrationTest","","ru.yandex.practicum.tests.RegistrationTest","registrationWithShortPasswordShowsError[Браузер: yandex]","Регистрация с паролем короче 6 символов показывает ошибку",""
"passed","Sat Sep 26 01:34:41 MSK 2026","Sat Sep 26 01:34:44 MSK 2026","3051","","ru.yandex.practicum.tests.LoginTest","","ru.yandex.practicum.tests.LoginTest","loginViaForgotPasswordForm[Браузер: chrome]","Вход через ссылку «Войти» в форме восстановления пароля",""
